"shrews_1","shrews_2","shrews_3","shrews_4","shrews_5","shrews_6","shrews_7"
0,1,1,0,1,1,0
1,1,1,1,0,1,0
0,1,1,0,0,1,1
1,1,1,1,0,1,0
1,1,1,0,0,0,1
0,1,1,0,0,1,1
1,1,1,0,0,1,0
0,1,1,1,0,1,0
0,0,1,0,1,0,1
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,1,0
1,1,1,1,0,1,0
0,1,1,0,0,1,0
1,1,1,1,0,1,0
0,1,1,1,0,1,0
1,1,1,1,0,1,0
1,1,1,1,0,1,0
1,1,1,0,0,1,0
1,1,1,0,0,0,0
0,1,1,0,0,1,1
1,1,1,1,0,1,0
0,1,1,0,0,1,0
1,1,1,1,0,0,0
0,1,1,0,0,1,1
0,0,1,0,1,0,1
0,1,1,0,0,1,1
1,1,1,1,0,1,0
0,1,1,1,0,1,1
0,1,1,0,0,1,0
0,1,1,1,0,1,0
0,1,1,1,0,1,0
0,1,1,0,0,1,0
0,1,1,0,0,1,0
0,0,1,0,1,0,1
0,1,1,1,0,1,1
1,1,1,1,0,0,0
1,1,1,0,0,1,0
1,1,1,0,0,0,0
0,1,1,0,0,1,1
1,1,1,1,0,1,0
1,1,1,1,0,0,1
0,1,1,1,0,1,1
1,0,1,0,0,0,0
1,1,1,1,0,0,0
1,1,1,0,1,1,1
1,1,1,1,0,1,0
1,1,1,1,1,1,1
0,0,1,0,1,0,1
0,0,1,0,0,1,0
0,1,1,1,0,1,0
0,1,1,1,0,1,0
0,1,1,0,0,1,1
1,1,1,0,0,1,0
0,1,1,1,0,1,0
1,1,1,1,0,1,0
1,1,1,1,0,1,0
0,1,1,0,1,1,1
1,1,1,0,0,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,1,0
1,1,1,0,0,1,0
1,1,1,1,0,0,0
1,1,1,0,0,1,1
1,1,1,0,0,1,1
1,1,1,1,0,1,0
1,1,1,1,0,1,1
0,1,1,1,0,1,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
1,1,1,1,0,1,0
1,1,1,1,0,0,0
0,0,1,0,0,1,0
1,1,1,1,0,0,0
0,1,1,0,0,1,0
1,1,1,1,0,1,0
1,1,1,0,0,1,1
0,1,1,1,0,1,1
0,1,1,0,0,1,0
0,1,1,0,0,1,0
1,1,1,0,1,1,0
1,1,1,0,0,1,0
1,1,1,0,0,1,0
1,1,1,1,0,1,0
0,0,1,0,0,1,0
1,1,1,0,0,1,1
1,1,1,1,0,1,0
1,1,1,0,0,1,0
1,0,1,0,0,0,0
0,1,1,1,0,1,0
0,1,1,1,0,1,0
0,1,1,1,0,1,0
0,1,1,1,0,1,0
0,0,1,0,1,0,1
0,1,1,1,0,1,0
1,1,1,1,0,1,0
1,1,1,1,0,1,0
0,1,1,1,0,1,1
1,1,1,0,0,1,0
1,1,1,1,0,0,0
1,1,1,1,0,0,0
0,1,1,1,0,1,0
1,1,1,1,0,1,0
0,1,1,1,0,1,0
0,1,1,0,0,1,0
0,0,1,0,0,1,1
1,1,1,1,0,1,0
1,1,1,1,0,1,0
0,1,1,0,1,1,0
1,1,1,0,1,1,0
1,1,1,1,0,1,0
0,0,1,0,1,0,0
1,1,1,1,0,1,0
1,1,1,0,1,0,1
1,1,1,1,0,1,0
1,1,1,1,0,0,0
1,1,1,0,0,1,0
0,0,1,0,1,0,1
0,0,1,0,1,0,1
1,1,1,1,0,1,0
1,1,1,0,0,1,0
1,1,1,0,0,0,0
0,0,0,0,1,0,1
0,1,1,0,0,1,1
0,1,1,0,0,1,0
0,1,1,0,0,1,0
0,1,1,0,0,1,1
0,1,1,0,0,1,0
0,1,1,0,0,1,1
1,0,1,0,1,1,1
1,1,1,1,0,1,0
0,1,1,0,0,1,1
0,1,1,0,0,1,0
0,1,1,1,1,1,0
0,1,1,1,0,1,0
1,0,0,0,0,0,0
0,1,1,1,0,1,0
1,1,1,1,0,1,1
1,1,1,0,1,1,1
0,1,1,0,0,1,0
1,1,1,0,1,1,0
1,1,1,1,1,1,1
1,1,1,0,0,1,1
0,0,1,0,0,0,0
0,1,1,1,0,1,0
1,1,1,1,0,0,0
1,0,1,0,1,1,1
1,1,1,0,0,1,0
0,1,1,1,0,1,0
1,0,1,0,0,0,0
0,1,1,1,0,1,0
0,0,1,0,1,1,0
0,1,1,0,0,1,0
1,1,1,1,0,1,0
1,1,1,0,0,0,0
1,1,1,1,1,1,0
0,1,1,1,0,1,0
1,0,1,0,1,0,1
1,1,1,0,0,1,0
0,1,1,1,0,1,0
1,1,1,0,0,1,0
0,1,1,1,0,1,0
1,1,1,0,0,1,1
0,1,1,0,0,1,1
1,1,1,0,0,1,1
1,1,1,0,0,0,0
0,1,1,0,0,1,0
0,1,1,0,0,1,1
0,1,1,0,0,1,0
0,1,1,0,0,1,0
1,1,0,0,0,1,0
1,1,1,1,0,1,0
1,1,1,1,0,1,1
1,1,1,1,0,0,0
1,1,1,1,0,1,0
0,1,1,0,0,1,0
1,1,1,0,0,1,0
0,1,1,0,0,1,1
1,1,1,0,0,0,0
0,1,1,0,0,1,0
1,1,1,1,0,0,0
0,1,1,0,0,1,0
1,1,1,1,0,0,0
0,1,1,1,0,1,1
0,1,1,0,0,1,0
1,0,1,0,1,1,0
0,1,1,1,0,1,0
1,1,1,0,1,0,1
1,1,1,1,0,1,0
1,0,1,0,1,1,1
0,1,1,1,0,1,0
0,1,1,0,0,1,0
1,1,1,1,0,0,0
0,1,1,0,0,1,0
0,0,1,0,1,0,1
0,1,1,1,0,1,0
0,0,1,0,1,0,0
1,1,1,0,1,1,1
1,1,1,0,0,1,0
1,0,1,1,0,0,0
1,1,1,0,0,1,0
1,1,1,1,0,1,0
1,0,1,0,1,0,1
0,1,1,0,0,1,0
1,0,1,0,1,0,1
1,1,1,0,0,1,1
1,1,1,0,0,1,1
1,1,1,0,0,0,0
0,0,1,0,1,0,1
1,1,1,1,0,1,1
0,1,1,0,0,1,0
0,1,1,0,0,1,1
1,1,1,0,0,0,0
1,1,1,1,0,0,0
0,1,1,1,0,1,0
0,1,1,0,0,1,0
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,1,0
0,1,1,0,1,1,1
1,1,1,1,0,0,0
1,1,1,0,1,1,1
0,1,1,0,0,1,0
0,1,1,1,0,1,0
1,1,1,0,0,1,0
0,1,1,1,0,1,0
0,1,1,0,0,1,0
1,1,1,0,0,1,0
0,1,1,1,0,1,0
0,1,1,0,0,1,0
1,1,1,0,0,1,0
0,1,1,0,0,1,0
0,1,1,0,0,1,1
1,1,1,0,0,0,0
1,0,1,1,0,1,0
1,1,1,1,0,0,0
0,0,1,0,1,0,1
0,1,1,0,0,1,0
0,0,1,0,1,0,1
1,1,1,0,0,1,0
0,1,1,0,1,1,1
1,1,1,1,0,0,0
1,1,1,0,0,1,1
1,1,1,0,0,0,0
0,1,1,0,0,1,0
0,0,1,0,1,0,0
0,0,1,0,0,1,0
1,1,1,1,0,0,0
0,1,1,0,0,1,0
0,1,1,0,0,1,0
0,0,1,0,0,0,0
1,0,1,0,0,1,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
0,1,1,1,0,1,0
1,0,1,0,1,1,1
1,1,1,0,0,1,0
1,1,1,0,1,1,0
1,0,1,0,0,0,0
1,1,1,1,1,1,1
1,1,1,0,0,0,0
0,0,1,0,1,0,1
1,1,0,0,0,0,0
0,1,1,1,0,1,0
1,1,1,0,0,1,0
0,0,1,0,1,0,1
0,1,1,0,0,1,0
1,0,1,0,1,0,0
1,1,1,0,0,0,1
1,1,1,0,0,0,0
0,1,1,0,0,1,0
0,0,0,0,1,0,1
0,1,1,0,0,1,1
1,1,1,0,0,1,0
0,1,1,0,0,1,0
0,1,1,1,0,1,0
0,1,1,0,0,1,0
0,1,1,0,1,1,0
0,0,1,0,1,0,0
0,0,1,0,0,1,1
0,1,1,0,0,1,0
0,0,1,0,1,0,0
0,1,1,0,0,1,0
1,1,1,0,0,1,0
0,1,1,0,0,1,0
1,1,1,0,0,1,0
0,1,1,0,0,1,0
0,0,1,0,0,0,1
0,1,1,0,0,1,1
1,0,0,0,0,0,1
1,0,1,1,0,0,0
0,0,1,0,0,1,0
0,1,1,0,0,1,0
0,0,0,0,0,1,0
0,1,1,0,0,1,0
1,1,1,0,0,1,0
0,1,1,1,0,1,1
0,1,1,1,0,1,0
1,0,1,0,0,0,0
0,0,1,0,1,0,1
0,0,1,0,0,1,0
1,1,1,0,0,0,1
1,0,0,0,0,0,0
1,1,1,0,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0,0,1
0,1,1,0,0,1,1
1,1,0,0,0,0,0
0,1,1,0,0,1,0
0,1,1,0,0,1,0
0,0,1,0,0,1,0
0,0,0,0,1,0,1
0,0,0,0,1,0,1
1,1,1,0,0,0,0
0,0,0,0,1,0,1
1,0,1,0,0,0,0
0,0,1,0,0,0,0
0,1,1,0,0,1,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,0,1
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,1,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,1
1,0,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,1,0,0,1
1,0,0,1,0,0,0
1,0,0,1,0,0,1
1,0,0,1,0,0,1
0,0,0,1,0,0,1
1,0,1,1,0,0,1
0,0,0,1,0,0,0
1,0,0,1,0,0,0
1,0,0,1,0,0,0
1,0,1,1,0,0,1
1,0,0,1,0,0,0
1,1,1,1,0,0,0
0,0,0,1,0,0,0
1,0,0,1,0,0,0
0,0,0,0,0,0,1
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,0,0,0,0,0,0
1,0,0,1,0,0,0
1,0,0,1,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,1,0,0,1
1,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,1,0,0,0,1,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
1,1,0,1,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,1,0,0,0
0,1,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,1,0,0,0
0,0,0,0,0,0,1
0,0,0,1,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,1,0,0,1
1,0,0,0,0,0,1
0,0,0,1,0,0,0
0,1,0,0,0,0,0
1,1,0,1,0,0,1
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,1,0,1,0,0,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,1,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,1,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,1,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,0,1,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,1,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,1,0,1,0,0,0
1,0,0,0,0,0,0
1,1,0,1,0,0,0
1,0,0,1,0,0,0
1,0,0,1,0,0,1
1,0,0,1,0,0,0
1,0,0,1,0,0,1
1,1,0,0,0,0,1
1,0,0,1,0,0,0
1,0,0,0,0,0,0
1,0,0,1,0,0,0
1,1,0,1,0,0,1
1,1,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,1,0,0,0
0,1,1,0,0,1,0
1,0,0,1,0,0,0
0,0,0,1,0,0,0
1,0,0,0,0,0,0
1,1,0,1,0,0,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,0,0,0,1
1,0,0,0,0,0,0
1,1,0,1,0,0,1
1,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,1,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,1,0,0,1
0,0,0,1,0,0,1
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,1,1,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,1
0,0,0,1,0,0,1
0,0,0,0,0,0,1
1,1,0,1,0,0,1
1,1,0,1,0,0,0
0,0,0,1,0,0,0
0,0,0,1,0,0,0
1,0,0,1,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,1,0,0,0,0
0,1,1,0,0,0,0
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,1,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,1
1,0,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,1
0,0,0,0,0,1,0
0,0,0,0,0,0,1
1,1,0,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,1,0,0,0
0,1,0,0,0,0,1
0,0,0,0,0,0,1
1,1,0,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,1,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,1
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
0,0,0,1,0,0,0
0,0,0,1,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,1,0,0,0,0,0
1,0,1,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
